reference;wholesale_price;price
M-FI/SS/1H;766,86;958,58
TP-CS/1;584,48;730,6
TP-T/S/2;573,56;716,95
P-HF876;595,64;744,55
TP-T/S/2;573,56;716,95
TP-CS/1;584,48;730,6
M-FI/SS/1H/1;766,86;958,58
P-HF876;595,64;744,55
P-HF876;595,64;744,55
M-FI/SS/1H/1;766,86;958,58
TP-CS/1;584,48;730,6
TP-T/S/2;573,56;716,95
S-AR/TI/1H;3776,04;4720,05
DP-AR/SS/2;847,78;1059,73
P-X227;47,66;59,57
P-HF1160;419,13;523,91
E-AR/T/1;1133,55;1416,94
S-AR/TI/7H;4169,17;5211,46
S-AR/TI/6H;4169,17;5211,46
P-HF1321;419,13;523,91
P-HF880;430,35;537,94
P-HF946;430,35;537,94
S-AUR8SO3-T;6831,82;8539,77
DI-AU/CA/2/G;972;1215
P-HF1433;349,92;437,4
S-AU/TI/24H;4600;5750
S-AU/TI/24H;4600;5750
P-HF1433;349,92;437,4
DI-AU/CA/2/G;972;1215
DI-AU/CA/2/G;972;1215
P-HF1433;349,92;437,4
S-AU/TI/23H;4456;5570
S-AU/TI/23H;4456;5570
P-HF1433;349,92;437,4
DI-AU/CA/2/G;972;1215
S-AU/TI/3H;6734,9;8418,62
DI-AU/CA/1/G;2019,42;2524,28
P-HF1282;376,26;470,33
L-AU/SS/6;947,8;1184,75
S-AU/TI/15H;6432,05;8040,06
DI-AU/CA/1/M;1762,24;2202,8
S-AU/TI/15H;6432,05;8040,06
L-AU/SS/6;947,8;1184,75
P-HF1282;376,26;470,33
DI-AU/CA/1/G;2019,42;2524,28
DI-AU/CA/1/M;1762,24;2202,8
S-AU/TI/19H;6432,05;8040,06
L-AU/SS/8;1252,8;1566
S-AU/TI/4H;6734,9;8418,62
DI-AU/CA/1/M;1762,24;2202,8
S-AU/TI/15H;6432,05;8040,06
DI-AU/CA/1/G;2019,42;2524,28
P-HF1282;376,26;470,33
L-AU/SS/6;947,8;1184,75
L-AU/SS/6;947,8;1184,75
S-AU/TI/15H;6432,05;8040,06
DI-AU/CA/1/M;1762,24;2202,8
P-HF1282;376,26;470,33
DI-AU/CA/1/G;2019,42;2524,28
L-AU/SS/8;1252,8;1566
S-AU/TI/19H;6432,05;8040,06
S-AU/TI/20H;6202,8;7753,5
P-HF1284;376,26;470,33
P-HF1284;376,26;470,33
S-AU/TI/20H;6202,8;7753,5
P-HF1369;320,42;400,53
S-AU/TI/18H;3680,64;4600,8
S-AU/TI/18H;3680,64;4600,8
P-HF1369;320,42;400,53
P-HF1369;320,42;400,53
S-AU/TI/17H;3451,68;4314,6
S-AU/TI/17H;3451,68;4314,6
P-HF1369;320,42;400,53
P-HF877;790,38;987,97
S-AU/TI/6H;6108,73;7635,91
S-AU/TI/6H;6108,73;7635,91
P-HF878;675,83;844,79
ME-BM/T/3;3861,46;4826,82
TP-CT/5;1135,48;1419,35
M-BM/T/4H;1795,81;2244,76
S-BME90/91/335;4136,39;5170,49
MTP-BM/SS/1H;2046,14;2557,67
E-BM/SS/1;595,09;743,86
MTP-BM/SS/2H;2079,84;2599,8
E-BM/SS/2;604,58;755,72
WM-BM/CA/1/M;428,66;535,82
WM-BM/CA/1/G;523,91;654,89
